rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,notes.x,illumina_plate_number,gprep_plate_number,mcmaster_pilot,box_ID,slot_ID,mcmaster_box,mcmaster_slot,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,shipped_to_guelph,area,territory.x,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Chao1,Shannon,Simpson,julian,dominance
KCG74,KCG74,74,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D6,1,I2,5088511,gao#,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,y,managed,guortestjarn,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11755,65.68187,KCG74,15,15,1.1342709,0.46736868,236,NA
KCG77,KCG77,77,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E3,1,I5,5088512,gagb,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,y,managed,guortestjarn,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11755,65.68187,KCG77,21,21,1.7200219,0.63436212,236,subordinate
KCG82,KCG82,82,2022-08-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G5,2,A1,5088513,gags,25-Aug-22,2022-08-25,fall2022,fall,cloacal swab tip,y,managed,knott,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.23334,65.68531,KCG82,185,185,2.7853529,0.84482406,237,NA
KCG86,KCG86,86,2022-08-31,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G9,2,A5,5088514,gamo,31-Aug-22,2022-08-31,fall2022,fall,cloacal swab tip,y,managed,nylidsberget,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08872,65.69736,KCG86,40,40,2.0819912,0.75910887,243,NA
KCG80,KCG80,80,2022-09-05,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,F7,1,I8,5088518,gasp,05-Sep-22,2022-09-05,fall2022,fall,cloacal swab tip,y,managed,saketorp,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.22588,65.67573,KCG80,44,44,2.046238,0.78820554,248,NA
KCG108,KCG108,108,2022-08-02,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H7,2,C9,5138211,oaor,02-Aug-22,2022-08-02,fall2022,fall,cloacal swab tip,y,reivo,lagerplats,2014,breeder,adult,adult,m,Perisoreus infaustus,19.12373,65.77143,KCG108,35,35,1.2139742,0.46834833,214,NA
KCG124,KCG124,124,2023-03-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E6,2,E7,5138211,oaor,20-Mar-23,2023-03-20,spring2023,spring,cloacal goop,y,reivo,lagerplats,2014,breeder,adult,adult,m,Perisoreus infaustus,19.12373,65.77143,KCG124,122,122,1.9871449,0.72932807,79,NA
KCG28,KCG28,28,2022-03-09,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,1,I7,1,D1,5138719,wbba,09-Mar-22,2022-03-09,spring2022,spring,faeces,y,managed,dyrasbacken,2015,breeder,adult,adult,NA,Perisoreus infaustus,19.18183,65.66996,KCG28,133,133,1.9219521,0.75239364,68,NA
KCG32,KCG32,32,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,B9,1,D5,5138736,aryy,22-Mar,2022-03-22,spring2022,spring,faeces,y,managed,flarkmyran,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.16553,65.64811,KCG32,86,86,0.7182381,0.25197464,81,NA
KCG118,KCG118,118,2023-03-14,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,D4,2,E1,5138736,aryy,14-Mar-23,2023-03-14,spring2023,spring,faeces,y,managed,flarkmyran,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.16553,65.64811,KCG118,73,73,2.445468,0.86131766,73,NA
