rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,illumina_plate_number,gprep_plate_number,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,area,territory,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Shannon,Simpson,julian
KCG25,KCG25,25,2022-03-26,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142844,opra,26-Mar-22,2022-03-26,winter2022,winter,faeces,reivo,reivosjo,NA,NA,adult,adult,NA,Perisoreus infaustus,19.12591,65.76324,KCG25,118,1.6039195,0.70535032,85
KCG26,KCG26,26,2022-03-15,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142762,ryca,15-Mar,2022-03-15,winter2022,winter,faeces,managed,nyaguortes,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.14671,65.67941,KCG26,141,1.3155014,0.45803984,74
KCG27,KCG27,27,2022-03-24,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5139767,yagg,24-Mar-22,2022-03-24,winter2022,winter,faeces,reivo,djay,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.06406,65.79753,KCG27,127,2.59036,0.85062521,83
KCG28,KCG28,28,2022-03-09,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5138719,wbba,09-Mar-22,2022-03-09,winter2022,winter,faeces,managed,dyrasbacken,2015,breeder,adult,adult,NA,Perisoreus infaustus,19.18183,65.66996,KCG28,133,1.9219521,0.75239364,68
KCG29,KCG29,29,2022-03-20,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142164,magb,20-Mar-22,2022-03-20,winter2022,winter,faeces,reivo,laxtjarn,2019,breeder,adult,adult,NA,Perisoreus infaustus,19.11516,65.80213,KCG29,325,4.3953521,0.96970271,79
KCG30,KCG30,30,2022-03-22,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5139739,gab#,22-Mar-22,2022-03-22,winter2022,winter,faeces,managed,nylidsberget,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.08872,65.69736,KCG30,193,3.284528,0.89750054,81
KCG31,KCG31,31,2022-03-29,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142840,mssa,29-Mar-22,2022-03-29,winter2022,winter,faeces,managed,saketorp,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.22588,65.67573,KCG31,102,1.1793311,0.42158931,88
KCG32,KCG32,32,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5138736,aryy,22-Mar,2022-03-22,winter2022,winter,faeces,managed,flarkmyran,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.16553,65.64811,KCG32,86,0.7182381,0.25197464,81
KCG33,KCG33,33,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5152957,gbas,22-Mar,2022-03-22,winter2022,winter,faeces,managed,doubletop,2013,breeder,adult,adult,NA,Perisoreus infaustus,19.17721,65.65864,KCG33,235,2.286712,0.73880459,81
KCG34,KCG34,34,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142756,rwas,22-Mar,2022-03-22,winter2022,winter,faeces,reivo,guorbaive,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.06631,65.8052,KCG34,107,1.4134396,0.5214538,81
