tube_label,ring_number,colour_combination,date,sample_type,area,territory,birth_year,age,breeding_status,immune_challenge_dose,immune_timing,treatment140
5042361_pmsa_2023-09-22,5042361,pmsa,2023-09-22,cloacal,reivo,folkes,2023,juvenile,non-breeder,NA,NA,NA
5042360_gbsa_2023-09-22,5042360,gbsa,2023-09-22,cloacal,reivo,angel,2023,juvenile,non-breeder,NA,NA,NA
5088530_bpsa_2023-08-30,5088530,bpsa,2023-08-30,cloacal,reivo,guorbaive,2023,juvenile,non-breeder,30,before,F
5042324_cssa_2023-08-31,5042324,cssa,2023-08-31,cloacal,reivo,mi5,2023,juvenile,non-breeder,31,before,C
5042321_b#sa_2023-09-20,5042321,b#sa,2023-09-20,cloacal,managed,sodraguortes,2023,juvenile,non-breeder,NA,NA,NA
5042324_cssa_2023-08-31,5042324,cssa,2023-08-31,cloacal,reivo,mi5,2023,juvenile,non-breeder,31,before,C
5152873_woma_2023-09-20,5152873,woma,2023-09-20,cloacal,managed,sakevare,2011,adult,breeder,NA,NA,NA
5142733_ybca_2023-09-20,5142733,ybca,2023-09-20,cloacal,managed,sakevare,2021,adult,non-breeder,NA,NA,NA
5088541_rcsa_2023-09-07,5088541,rcsa,2023-09-07,cloacal,managed,bengt,2023,juvenile,non-breeder,35,before,F
5042319_sosa_2023-09-18,5042319,sosa,2023-09-18,cloacal,managed,knott,2023,juvenile,non-breeder,NA,NA,NA
5139709_gapo_2023-09-17,5139709,gapo,2023-09-17,cloacal,managed,bengt,2016,adult,breeder,NA,NA,NA
5142205_yars_2023-09-15,5142205,yars,2023-09-15,cloacal,managed,ostraguortes,2018,adult,breeder,NA,NA,NA
5133381_bswa_2023-09-15,5133381,bswa,2023-09-15,cloacal,managed,ostraguortes,2023,juvenile,non-breeder,NA,NA,NA
5088541_rcsa_2023-09-20,5088541,rcsa,2023-09-20,cloacal,managed,bengt,2023,juvenile,non-breeder,35,after,F
5088540_opsa_2023-09-07,5088540,opsa,2023-09-07,cloacal,managed,bengt,2023,juvenile,non-breeder,36,before,C
5139712_roap_2023-09-15,5139712,roap,2023-09-15,cloacal,managed,ostraguortes,2017,adult,breeder,NA,NA,NA
5088531_w#sa_2023-09-08,5088531,w#sa,2023-09-08,cloacal,reivo,granmyran,2023,juvenile,non-breeder,36,before,C
5042330_mwsa_2023-09-15,5042330,mwsa,2023-09-15,cloacal,managed,ostraguortes,2023,juvenile,non-breeder,NA,NA,NA
5142205_yars_2023-09-15,5142205,yars,2023-09-15,fecal,managed,ostraguortes,2018,adult,breeder,NA,NA,NA
5088513_aggs_2023-09-13,5088513,aggs,2023-09-13,cloacal,reivo,saketorp,2022,adult,non-breeder,NA,NA,NA
5088540_opsa_2023-09-20,5088540,opsa,2023-09-20,cloacal,managed,bengt,2023,juvenile,non-breeder,36,after,C
5088542_spsa_2023-09-12,5088542,spsa,2023-09-12,cloacal,managed,sakevare,2023,juvenile,non-breeder,39,before,C
5142230_sswa_2023-09-12,5142230,sswa,2023-09-12,cloacal,reivo,frasses,2019,adult,breeder,NA,NA,NA
5088521_agcg_2023-09-12,5088521,agcg,2023-09-12,cloacal,reivo,frasses,2022,adult,non-breeder,NA,NA,NA
5142809_bpga_2023-09-11,5142809,bpga,2023-09-11,cloacal,reivo,laxtjarn,2022,adult,non-breeder,NA,NA,NA
5142894_gapm_2023-09-08,5142894,gapm,2023-09-08,cloacal,reivo,granmyran,2022,adult,non-breeder,NA,NA,NA
5139872_wgap_2023-09-08,5139872,wgap,2023-09-08,cloacal,reivo,mi5,2017,adult,breeder,NA,NA,NA
5088542_spsa_2023-09-20,5088542,spsa,2023-09-20,fecal,managed,sakevare,2023,juvenile,non-breeder,39,after,C
5139873_wpap_2023-09-08,5139873,wpap,2023-09-08,cloacal,reivo,granmyran,2017,adult,breeder,NA,NA,NA
5088542_spsa_2023-09-20,5088542,spsa,2023-09-20,cloacal,managed,sakevare,2023,juvenile,non-breeder,39,after,C
5142279_mamo_2023-09-07,5142279,mamo,2023-09-07,cloacal,reivo,fyra,2020,adult,breeder,NA,NA,NA
5133366_yayo_2023-09-03,5133366,yayo,2023-09-03,cloacal,reivo,spang,2023,juvenile,non-breeder,51,before,C
5142829_garw_2023-09-07,5142829,garw,2023-09-07,cloacal,reivo,fyra,2022,adult,non-breeder,NA,NA,NA
5133372_mamb_2023-09-05,5133372,mamb,2023-09-05,cloacal,managed,saketorp,2023,juvenile,non-breeder,59,before,C
